Sample,Observe,Chao1,ACE,Shannon,Simpson,J
HBT_12,86,135.6,124.0847508,3.258620165,0.903690682,0.731559519
HBT_8,82,101.25,99.58845777,3.326891551,0.929443565,0.754958817
HBV_11,88,113.0714286,116.4461933,3.568033393,0.948331065,0.796909757
HBV_12,64,127,105.6296849,2.75053541,0.8666484,0.661363966
HBV_22,75,90,93.12555609,3.223410185,0.926992962,0.746593876
HBV_46,67,88.08333333,90.4464194,2.830214315,0.888411357,0.673108494
HBV_5,52,65.6,73.22913121,2.568233566,0.850122222,0.649981056
HBV_52,94,172.75,137.4560691,3.693051457,0.95742231,0.812857548
HBV_56,52,94.75,83.03981497,2.989420763,0.912076917,0.756577163
HBV_59,37,56.5,49.89684489,2.149757884,0.806042153,0.59534942
HBV_61,85,131.5,116.9018628,3.227543611,0.897317883,0.726490428
HBV_64,72,100.1111111,95.54419735,3.353272278,0.937999126,0.78408559
HBV_68,66,94.11111111,90.65240369,2.711726215,0.831009981,0.647243361
N39,62,104,112.9544494,2.460638996,0.793841474,0.596210049
N41,79,109.6666667,102.9093413,3.5528629,0.953457013,0.813114842
N42,53,81.875,78.47712492,1.852565796,0.637674021,0.466606949
N43,86,105.5,115.3527682,3.255321213,0.899488329,0.730818905
N44,89,114.5882353,118.1038955,3.302956823,0.923794248,0.735848608
N45,143,215.7307692,231.9770285,3.916643766,0.955710583,0.789193307
N72,92,158.6,142.8699089,3.522984093,0.944993812,0.779112962
ZR4_12,42,68.25,56.77029915,1.929736697,0.712466674,0.51629408
ZR4_14,54,73.42857143,71.89981096,2.801877513,0.891049757,0.70240379
ZR4_15,91,124.8333333,118.714186,3.67092919,0.956680356,0.813798165
ZR4_16,116,159.1578947,161.4303137,3.901699125,0.964349266,0.820789965
ZR4_19,99,120.3684211,126.2729783,3.70263482,0.954094293,0.805775462
ZR4_2,59,113,127.0308059,2.829881151,0.888519109,0.694017208
ZR4_22,67,96.25,99.57039372,2.345380151,0.714988086,0.55780062
ZR4_23,97,126.1764706,135.3914136,3.825647561,0.967683441,0.836259947
ZR4_26,55,81.25,82.13822115,2.328271582,0.791236939,0.581002745
ZR4_27,40,46.42857143,49.59796242,2.518433021,0.866020356,0.682709493
ZR4_28,54,64.5,65.22171891,2.600356813,0.834645863,0.651884486
ZR4_30,71,96,100.4249851,2.993316157,0.886388685,0.702214626
ZR4_31,48,54,52.93873165,2.742149357,0.882592713,0.708345898
ZR4_33,42,45.92857143,50.16167092,2.316950656,0.814003534,0.619891775
ZR4_35,83,122.6666667,132.5302798,2.926022162,0.854506216,0.662169655
ZR4_36,61,76.3,78.41778284,3.044051646,0.920684814,0.740487728
ZR4_38,27,30.5,32.88113068,0.680950936,0.214178401,0.206609418
ZR4_39,68,102.3636364,112.56,2.975373307,0.901489449,0.705147025
ZR4_41,50,60.5,62.54071325,2.71454144,0.885843765,0.693897105
ZR4_44,73,118.1111111,113.5581109,3.105724003,0.911790603,0.723867466
ZR4_45,87,113.25,102.3898303,3.452447284,0.913607005,0.773067245
ZR4_46,88,162.5454545,160.116334,3.28748984,0.934255491,0.73425118
ZR4_52,74,91.64705882,97.66352229,2.597902952,0.793472037,0.603592858
ZR4_53,84,124.0714286,128.9107411,2.806804009,0.812205604,0.633473271
ZR4_54,111,146,147.4799063,3.918230389,0.967735778,0.831979034
ZR4_55,78,121.5,118.2026662,3.388866334,0.942774107,0.777850086
ZR4_57,97,134.1875,138.9670192,3.551379017,0.946289922,0.776306751
ZR4_59,70,76,79.19251634,3.432035182,0.946788663,0.807823708
ZR4_63,23,38,37.76190476,0.846771416,0.309795024,0.270059951
ZR4_67,86,101.3333333,105.2193243,3.06952403,0.864062336,0.689107478
ZR4_68,119,166.5263158,170.1082329,3.981402492,0.969158113,0.833082154
ZR4_69,73,104,114.9115143,2.842294138,0.883645611,0.662468478
ZR4_76,40,51,50.13717395,2.518743639,0.844358995,0.682793697
ZR4_77,37,42.625,45.19884133,1.582927986,0.5316762,0.438372742
ZR4_79,80,137,154.6080092,2.708125111,0.827361784,0.618007451
ZR4_81,75,104,107.4491556,3.009433847,0.907375823,0.697033499
ZR4_82,104,145,158.7670299,3.634100913,0.947016483,0.78247094
ZR4_84,75,98.21428571,102.5644373,3.068313636,0.907806833,0.710671009
ZR4_89,80,119.5454545,116.6564858,2.973666637,0.846027622,0.678605332
ZR6_20,68,106.5,88.91086992,3.128319253,0.913354555,0.741394369
ZR7_1,56,77.11111111,89.41225811,3.053811823,0.926266401,0.758644724
ZR7_11,40,54,44.19279762,2.42682809,0.831003824,0.657876767
ZR7_12,33,42.16666667,46.05629678,2.11820209,0.821961837,0.605805093
ZR7_13,18,19.66666667,22.8199446,1.09723964,0.519380084,0.379618863
ZR7_15,52,80.5,84.59399044,2.860529867,0.904897512,0.723956827
ZR7_16,43,56.125,68.59267241,2.633406655,0.887706346,0.700150636
ZR7_17,24,31.2,42.67280273,1.952001791,0.81283057,0.614212941
ZR7_18,51,64.57142857,79.4701134,1.75954053,0.586100524,0.44751235
ZR7_20,23,28,28.22844444,1.27983892,0.519721813,0.408177733
ZR7_22,70,93.07692308,100.6259786,2.322863555,0.689709314,0.546749713
ZR7_6,63,88.09090909,99.75244755,2.952513461,0.909644786,0.712627915
ZR7_7,56,67.76923077,73.47351977,2.651815425,0.87868591,0.658778569
ZR7_8,60,81.11111111,77.54842959,2.793351209,0.88924567,0.682246246
ZR7_9,41,45.5,49.99983966,2.405616957,0.81685744,0.647790568
ZR8_48,48,63.11111111,72.19036288,2.509328001,0.856445763,0.648204006
ZR8_51,79,166.875,153.4488764,3.045703698,0.883054511,0.697045439
ZR9_1,52,71.25,82.36578303,2.016576341,0.682689999,0.51036496
ZR9_10,66,120.375,110.3936471,2.74971689,0.879292404,0.656311095
ZR9_11,56,80,72.25022413,3.069745778,0.911202581,0.762603125
ZR9_12,26,28,30.04283195,2.065455647,0.779008552,0.633945502
ZR9_13,55,62.58333333,66.1630026,2.790036161,0.893355664,0.696232639
ZR9_14,67,95.875,91.0568153,3.128117389,0.915974484,0.743958637
ZR9_15,66,81.83333333,83.76549404,2.523393772,0.791587905,0.60229158
ZR9_16,82,117.7692308,114.5562267,2.982247883,0.890954319,0.676750144
ZR9_17,45,73.5,71.69925926,2.481158089,0.859952343,0.651793558
ZR9_18,49,70.375,71.30787654,2.490241044,0.864751953,0.639865372
ZR9_19,59,76.5,84.48027398,2.785451768,0.893737416,0.683121076
ZR9_2,69,125.1,128.6680725,2.921288324,0.912526399,0.689942098
ZR9_20,52,87,82.45305326,2.551394031,0.859875376,0.645719225
ZR9_21,39,59,64.15873016,2.290655041,0.841046371,0.625253582
ZR9_3,74,118,120.1770833,2.356683155,0.717660351,0.547548214
ZR9_4,80,113.2142857,119.1106387,3.249865356,0.932291314,0.741635236
ZR9_5,41,56.6,53.63012987,2.313238226,0.829581489,0.622914591
ZR9_6,31,40.16666667,47.709,1.794013869,0.728567998,0.522428816
ZR9_7,58,68.2,77.38935031,2.337357459,0.756737619,0.575640996
ZR9_8,30,37.5,44.06980994,2.090687157,0.814631578,0.614691511
ZR9_9,65,107.8571429,95.30312581,3.028127056,0.917643111,0.725406356
