Samples,Category,Bifidobacterium longum,Actinomyces odontolyticus,Leptotrichia hofstadii,Leptotrichia genomosp,Leptotrichia sp.,Leptotrichia hongkongensis,Fusobacterium periodonticum,Alistipes shahii,Prevotella sp.,Muribaculum intestinale,Prevotella conceptionensis,Alistipes onderdonkii,Alistipes obesi,Butyricimonas paravirosa,Prevotellamassilia timonensis,Bacteroides eggerthii,Alistipes sp.,Barnesiella intestinihominis,Lactobacillus mucosae,Okadaella gastrococcus,Howardella ureilytica,Lactobacillus salivarius,Parasporobacterium paucivorans,Acetanaerobacterium sp.,Dialister sp.,Coprococcus sp.,Solobacterium moorei,Intestinimonas massiliensis,Selenomonas sp.,Anaerofilum sp.,Peptostreptococcaceae bacterium,Paludicola psychrotolerans,Lachnoanaerobaculum saburreum,Anaerotruncus colihominis,Oscillibacter sp.,Peptostreptococcus stomatis,Gemella haemolysans,Ruminococcaceae bacterium,Clostridiales bacterium,Pseudoflavonifractor capillosus,Ruminococcus callidus,Streptococcus anginosus,Anaerostipes hadrus,Kineothrix alysoides,Campylobacter concisus,Desulfovibrio sp,Campylobacter showae,Eikenella corrodens,Succinivibrio dextrinosolvens
ZR4_54,HBVI,6.67E-05,0.0001,0,0,0,0,6.67E-05,0.001866667,0,0,0,0.0047,0.0006,0.000133333,0.000133333,0,0.000866667,0.005566667,6.67E-05,0,0,0.000333333,0.003133333,0.000333333,0.010566667,0.014066667,0,0.0032,0,0.000133333,0.000333333,0.001533333,0,6.67E-05,0,0,0,0.0094,0.001866667,6.67E-05,3.33E-05,0,0.000133333,1.17E-03,0,0,0,0,0
ZR4_55,CHB,0.022366667,0.002366667,0,0,0,0,0.0013,0,0,0,0,0.0026,0,0,0,0,0,3.33E-05,0.026233333,0.0024,0,0.042666667,0.0001,0,6.67E-05,3.33E-05,3.33E-05,0,0,0,0,0,0,0,0,0.001,0.001,0,0,0.0096,0,0.003366667,0,3.00E-04,0,0,0,0,0
ZR4_57,CHB,0.001233333,0.000266667,0,0,0,0,0.0001,0.000433333,0,0,0,6.67E-05,0.0022,0.001233333,0,0,0.0065,0,0.010266667,6.67E-05,0,0.015766667,6.67E-05,0,0,0,3.33E-05,0.012133334,0,3.33E-05,1.00E-04,0,0,0.000133333,0.0001,0.000633333,6.67E-05,0.0374,0,0.000133333,0.004466667,0.001666667,0,3.33E-04,0,0,0,0,0
ZR4_59,LC,0.017433333,0.001366667,0,0,0,0,0,0,0,0,0,0,3.33E-05,0,0.0000333,0,0,0,3.33E-05,0.0009,0,3.33E-05,0,0,0,0.000133333,0,0.0000667,0.0000667,0,0,0,0,0,0,3.33E-05,0.0029,6.67E-05,0,0,3.33E-05,0.000933333,0,8.00E-04,0,0,0,3.33E-05,0
ZR4_63,LC,0,6.67E-05,0,0,0,0,3.33E-05,0,3.33E-05,0,0,0,0,0,0,0,0,0,3.33E-05,3.33E-05,0,0,0,0,0,3.33E-05,0,0,0,0,0,0,0.000533333,0,0,0,0,3.33E-05,0,0,0,0,0,0.00E+00,6.67E-05,0,0,0.008466667,0
ZR4_67,LC,0.004633333,0,0,0,0,0,0,0.006966667,0,0,0,0.0004,0.001866667,0,0,3.33E-05,0,0.009366667,0.003733333,3.33E-05,0,0,0,0,3.33E-05,0.002466667,0,0.003533334,0,0,0.000233333,3.33E-05,0,0,0,0,0,0.004166667,0.000233333,0,0.000533333,0.000133333,0,1.00E-04,0,0,0,0,0
ZR4_68,HBVI,0,0,0,0,0,0,0,0.0026,0,0,0,0.0057,0.000866667,0.0002,0.0001,0,0.001566667,0.0062,3.33E-05,0,0,0.0001,0.003333333,0.000266667,0.014666667,0.012966667,0,0.0035,0,0.000133333,0.000466667,0.000733333,0,3.33E-05,0,0,0,0.011066667,0.002333333,6.67E-05,0,0,0.0001,1.20E-03,0,0,0,0,0
ZR4_69,LC,0.003333333,0.000133333,3.33E-05,0,0,0,0.000833333,3.33E-05,0,0,0,6.67E-05,0,0,0,6.67E-05,3.33E-05,0.000233333,3.33E-05,0.000266667,0,0.005633333,0,0,0.0001,0.0001,0,0.0000333,0.0000667,0,0,0,0,0,0,0,0,0.000333333,0,0.000133333,0,0.000566667,0,3.33E-05,0.0002,0,0,0,0
ZR4_76,HBVI,0.002666667,0.000366667,0,0,0,0,0.000166667,0,0,0,0,0,0,0,0,0,0,0,0,0.000133333,0,0,0,0,3.33E-05,0,3.33E-05,0,0.0000333,0,0,0,0,0,0,0,6.67E-05,3.33E-05,0,0,0,3.33E-05,0,3.33E-05,3.33E-05,0,0,0,0
ZR4_77,LC,0,0.0001,0,0,0,0,0,0,0,0,0,6.67E-05,0,0,0,0,0,0,0,0,0,3.33E-05,0,0,3.33E-05,0,0,0,0,0,0,0,0,0,0,0,0,3.33E-05,0,0,3.33E-05,0,0,1.70E-03,0,0,0,0,0
ZR4_79,CHB,0.000366667,0.000333333,0,0,0,0,0,0.001433333,0,0,0,0.000433333,0.0004,0.000366667,0,0,0,3.33E-05,0.000133333,0,0,0.000633333,0.000833333,3.33E-05,3.33E-05,0.008833333,0,0.001266667,0,0,0.0000333,3.33E-05,0,3.33E-05,0,0,0,0.0021,0.0007,0,0.002533333,3.33E-05,0,4.00E-04,0,0,0,0,0
ZR4_81,HBVI,0.005133333,0,0,0,0,0,0,0.001733333,0,0,0,0.0021,0.002,0.0008,0,0,0.001166667,0,0,3.33E-05,0,0,0.0002,0,0.0073,3.33E-05,0,0.002733333,0,3.33E-05,4.67E-04,0.000133333,0,0.000166667,0,0,0,0.036666667,0,0.0009,0,0,0,3.33E-05,0,0,0,0,0
ZR4_82,HBVI,0.001566667,0.000366667,0,0,0,0,0,0.005433333,0,0,0,0.0011,0.001833333,0.000166667,0.043266667,0.0011,0.004466667,0.000233333,0,0.000166667,0,3.33E-05,0,0.0001,0,0.008866667,3.33E-05,0.001466667,0,0.0002,0.0003,0,3.33E-05,0.000366667,0,0,0,0.012333333,0.002133333,0.0002,0.000533333,0.000833333,0,9.67E-04,0,0,0,0,0
ZR4_84,HBVI,6.67E-05,0.0002,0,0,0,0,0,0.000933333,0,0,0,0.001866667,0,0.000666667,0.0000667,0,0.000233333,0.0051,0,0,0,0,0.002266667,0,3.33E-05,0.001266667,0,0.000233333,0,0,0.000433333,0,0,0,0,3.33E-05,0,0.0048,0,0.000133333,0.001466667,3.33E-05,0,5.00E-03,0,0,0,0,0
ZR4_89,HBVI,0.000633333,0,0,0,0,0,0,0.0001,0,0,0,0.002533333,0.000566667,0,0,0,0.000466667,0,0,0,0,3.33E-05,0.000866667,3.33E-05,3.33E-05,0.021166667,0,0.003666667,0,0,0.0002,0,0,0,0.0002,0,0,0.006566667,0,6.67E-05,0.000866667,0,0,1.07E-03,0,0,0,0,0
ZR6_20,HBVI,0.000833333,0,0,0,0,0,0,0.006866667,0,0,0,0.015333333,0,0.002166667,0,0,0.0074,0.0011,0,6.67E-05,0,0,0,0,0.000166667,0,0,0.0013,0,6.67E-05,0.00E+00,3.33E-05,0,3.33E-05,0.000266667,0,6.67E-05,0.0248,6.67E-05,0.000266667,0,0.000133333,0,1.67E-04,0,0,0,0,0
ZR7_1,LC,0,0,0,0,0,3.33E-05,0.001633333,0.000133333,0,0,0,0.008033333,0,0,0,0,0,0,0.000133333,0.0005,0,0,0,0,0,0,0,0,0.000166667,0,0,0,0,0,0,3.33E-05,3.33E-05,0,0,0,0,0.000233333,0,0.00E+00,0,0,0,0.0001,0
ZR7_11,LC,0,0,0,0,0,0,0,0.0002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.33E-04,0,0,0,0,0
ZR7_12,LC,0,0.0005,0.0001,0,0.003133333,0.004066667,0.0003,0,0,0,0,0,0,0,0,0,0,0,3.33E-05,0.001366667,0,0.002866667,0,0,0,0,0,0,0.001266667,0,0,0,0.000366667,0,0,0,0.002933333,0,0,0,0,0.000166667,0,0.00E+00,0.027666667,0,0.003266667,0.003266667,0
ZR7_13,LC,0,0.004233333,0,0,0,0,0.0212,0,0,0,0,0,0,0,0,0,0,0,0,0.000566667,6.67E-05,0,0,0,0,0,0.000266667,0,0.000466667,0,0,0,0.000966667,0,0,0.001133333,0.001066667,0,0,0,0,0.000433333,0,0.00E+00,0.000566667,0,0,0.002166667,0
ZR7_15,HBVI,0.000333333,0,0,0,0,0,0,0.000433333,0,0,0,0.0078,0,0.015933333,0,0,0.001,3.33E-05,0,3.33E-05,0,0,0,0,0,0,0,0.000266666,0,0,0,0,0,3.33E-05,0.000666667,0,0,0.025166667,0,0,0,0,0,2.00E-04,0,0,0,0,0
ZR7_16,LC,0.000466667,0,0,0,0,0,0.000633333,3.33E-05,0,0,0,0.001466667,3.33E-05,0.0001,0,0,0,0,0,0.0001,6.67E-05,0,0,0,3.33E-05,0,0,0,0.0000333,0,0,0,0,0,0,0,3.33E-05,0.000166667,0,0,0,0,0,0.00E+00,0,0,0,0,0
ZR7_17,HBVI,0.000266667,0,0,0,0,0,3.33E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00E+00,0,0,0,0,0
ZR7_18,CHB,0,0,0,0,0,0,3.33E-05,0.002433333,0,0,0,0.020866667,0.000133333,0,0,0,0.000133333,0.005366667,0,0,0,0,0.000833333,0,0,0,0,0.000899967,0,0,0.000133333,0,0,0,6.67E-05,0,0,0.006933333,0,0.0002,0,0,0,8.67E-04,0,0,0,0,0
ZR7_20,LC,0.000433333,0,0,0,0,0,3.33E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00E+00,0,0,0,0,0
ZR7_22,HBVI,0.007266667,0,0,0,0,0,0,0.001233333,0,0,0,0.0015,0.001566667,0,0,0,0.0021,0,0,0,0,0,0,0,0,0.0204,0,0.001733334,0,0,0.000933333,6.67E-05,0,6.67E-05,0.0002,0,3.33E-05,0.017333333,0.000266667,0.000233333,0.0002,0,0,1.44E-02,0,0,0,0,0
ZR7_6,CHB,3.33E-05,3.33E-05,0,0,3.33E-05,0,0.001133333,0.0016,0,0,0,0.003966667,0.000266667,0.000166667,0,0,0.000166667,0.0077,0,0,0,0,0.003866667,0,0,0.000166667,0,0.000133333,0,0,0.0000333,6.67E-05,0,3.33E-05,0,0,0,0.002466667,0.000133333,3.33E-05,0.0006,0.000233333,0,3.33E-04,0,0,0,0,0
ZR7_7,LC,3.33E-05,0.000766667,0.000133333,6.67E-05,0.003833333,0.001766667,0.019266667,0.000266667,0,0,0,3.33E-05,0,0,0,0,0,0,0,0,0,0,0.000133333,0,0,0,0,0,0.000133333,0,0,0,6.67E-05,0,0,0,0.000633333,0,0,3.33E-05,0,6.67E-05,0,0.00E+00,0.0007,0,0.000633333,0.0004,0
ZR7_8,LC,0.000366667,0,0,0,0,0,3.33E-05,0.000966667,0,0,0,6.67E-05,0,0.000533333,0,0,0.0003,0,0,0,0,0,0,0,0,0,3.33E-05,0,0,0,0,0,0,0,0.000333333,0,0,0,0,0.0004,0,0,0,2.33E-04,3.33E-05,0,0,0,0
ZR7_9,CHB,0,0,0,0,0,0,0.0001,0.000833333,0,0,0,0.0011,0,0,0,0.001066667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.67E-05,0,3.33E-05,3.33E-05,0,0,3.33E-05,0,0,0,0.00E+00,0,0,0,0,0
ZR8_48,CHB,6.67E-05,6.67E-05,0,0,0,0,6.67E-05,0.000333333,0,0,0,0.000566667,0,3.33E-05,0,0,0.0003,0,0,6.67E-05,0,0,0,0,0,0,0,0.0003,0,0,0.0000333,0,0,3.33E-05,0,0,0,0.0052,0.0002,0,0,0,0,1.17E-03,0,0,0,0,0
ZR8_51,CHB,0.000266667,3.33E-05,0,0,0,0,0,0.006966667,0,0,0,0.0035,0,0.000966667,0,6.67E-05,0.000433333,0.024533333,0,0,0,0,0.000133333,0,0.013566667,0.0007,0,0.000266666,0.0000333,0,0.0006,0,0,3.33E-05,0.000133333,0,0,0.0158,0.000433333,0.0004,0.000566667,0,0,6.53E-03,0,0,0,0,0
ZR9_1,Healthy,0,0,0,0,0,0,0,3.33E-05,0,0,0,0,0.0001,0,0,0,0,0,0,6.67E-05,0,0,0,0,0,0.002533333,0,0.000266667,0.0000667,0,0.0001,0,0,0,0,0,0,0.000766667,0,0,6.67E-05,0,0,3.00E-04,0,0,0,0,0.058366667
ZR9_10,Healthy,0,0,0,0,0,0,0,0.000833333,0,0,3.33E-05,0.0003,0,0.0001,0,0,0.0001,0,3.33E-05,3.33E-05,0,0,0,0,0,0,0,0.0000333,0,0,0.000266667,0,0,0,3.33E-05,0,0,0.004433333,0.000266667,6.67E-05,0,0,0,7.90E-03,0,0,0,0,0
ZR9_11,Healthy,0,6.67E-05,0,0,0,0,0,0.010366667,0,0.0000333,0,0.027366667,0,0,0,0,0.0013,0.037633333,0,0,0,0,0.001366667,0,0,0,0,0.0013,0,0,0.0017,0,0,6.67E-05,0,0,0,0.017766667,0.0001,0,0,0,0,3.77E-02,0,0,0,0,0
ZR9_12,Healthy,0,0,0,0,0,0,0,0.000133333,3.33E-05,0,0,0.000166667,0,0,0,0.000533333,0,0,3.33E-05,0,0,0,3.33E-05,0,0,0,0,0,0.0000333,0,0,0,0,0,0,0,0,3.33E-05,0,0,0,0,0,0.00E+00,0,0,0,0,0
ZR9_13,Healthy,0.0026,0,0,0,0,0,0.0002,0,0.0001,0.000200033,0.000233333,0.003533333,0,0,0,0,0,0,0,0,0,0,0.002066667,0,0,0,0,0.0005,0,0,0,0,0,0,3.33E-05,0,6.67E-05,0,0,0,6.67E-05,0,0,3.67E-04,0,3.33E-05,0,0,0
ZR9_14,Healthy,0.0004,3.33E-05,0,0,0,0,0,0.0026,0,0.0000333,0,0.047266667,0,3.33E-05,0,0.001966667,0.001066667,0.0411,0,0,0,3.33E-05,0,0,0.001766667,0,0,0.0008,0,0,0.000433333,0,0,0,0.0008,3.33E-05,0,0.019166667,0,0.0004,0,0,0,2.00E-04,0,0,0,0,0
ZR9_15,HBVI,3.33E-05,0,0,0,0,0,0,0.002866667,0,0,0,0.0018,0.000566667,0.000666667,0.000133333,0,0.0006,0.0125,0,0,0,0,0.000133333,0,3.33E-05,0,0,0.0013,0,0,0.0001,0,0,0.0001,0.000266667,0,0,0.014466667,0.0002,0.000533333,3.33E-05,0,0,2.07E-03,0,0,0,0,0
ZR9_16,HBVI,0,0,0,0,0,0,3.33E-05,0,0,0,0,0.000566667,0,0,0,0,0,0.000266667,0,0,0,0,3.33E-05,3.33E-05,0.016033333,0.005633333,0,0.003133334,0,0,0.000766667,0,0,0,0,0,6.67E-05,0.012266667,0.000266667,0.0001,0,0,0,4.73E-03,0,0,0,0,0
ZR9_17,HBVI,6.67E-05,3.33E-05,0,0,0,0,3.33E-05,0.002133333,0,0,0,0.0006,0.000133333,0.000333333,0,0.000166667,6.67E-05,0.000233333,0,0,0,0,0,0,3.33E-05,0,0,0.0000333,0,0,0,0,0,3.33E-05,0,0,0,3.33E-05,0,3.33E-05,0.0003,0,0,1.33E-04,0.0001,0,0,0,0
ZR9_18,HBVI,0,0,0,0,0,0,0,0.001633333,0,0.0000333,0,0.0022,3.33E-05,0.000166667,0,0,6.67E-05,0.008033333,0,0,0,0,0,0,0.001733333,0,0,0.0000667,0,0,0.0000333,0,0,0,0,0,0,0.000633333,3.33E-05,0.000133333,0.0002,0,0,8.33E-04,0,0,0,0,0
ZR9_19,HBVI,6.67E-05,0,0,0,0,0,0,0.0022,0,0,0,0.001233333,0.000233333,0,0,0,0,0.004733333,0,0,0,0,0.001733333,0,0,0,0,0.000366667,0,0,0.0000333,0,0,0,0.0001,0,0,0.010866667,0,0.000266667,0,0,0,1.43E-03,0,0,0,0,0
ZR9_2,Healthy,0,0,0,0,0,0,0,0.000633333,0,0.0001667,0,0.001233333,0.0005,0,0.0000667,0.0013,6.67E-05,0.000766667,0,0,0,0,0.004333333,0,0,0.011233333,0,0.000833366,0.0000333,0,0.000133333,0,0,0,0,0,3.33E-05,0.002533333,0,3.33E-05,0.000266667,0,0,1.07E-03,0,3.33E-05,0,0,0
ZR9_20,HBVI,0,6.67E-05,0,0,0,0,0,0.0004,0,0.0000333,0,0.004433333,0,0,0,0,0.001133333,0.0062,0,0,0,0,0.002233333,0,0,0.000533333,0,0.000666667,0,0,0.0003,3.33E-05,0,0,0,0,0,0.013733333,0,6.67E-05,0.002566667,0,0,1.00E-03,0,0,0,0,0
ZR9_21,HBVI,0,0,0,0,0,0,0,0.0008,0,0,0,0.000866667,0.000866667,0,0,0,0,0.000766667,0,0,0,0,0,0,0.002533333,0,0,0.0000333,0,0,0.000466667,0,0,3.33E-05,0.000666667,0,0,0,0,0.000766667,0,0,0,6.67E-05,0,0,0,0,0
ZR9_3,Healthy,0,0,0,0,0,0,0,0.0011,0,0,0,0.000133333,0.000333333,0,0,0,0,0.000133333,0,0,0,0,0,0,0.060066667,0.001866667,0,0.002366666,0,0,0.0000333,0,0,0,6.67E-05,0,3.33E-05,0.004533333,6.67E-05,6.67E-05,0.000266667,0,0,2.07E-03,0,0,0,0,0
ZR9_4,Healthy,0.0008,0,0,0,0,0,0,0.0013,3.33E-05,0.0000333,6.67E-05,0.037033333,0.0016,0,0,0.031766667,0.000833333,0.016833333,0,3.33E-05,0,0,0,0,0.0332,0.0008,0,0.000466667,0,0,0.0003,0,0,0,0,0,0,0.018233333,0.000133333,6.67E-05,0.001133333,0,0,4.80E-03,0,0,0,0,3.33E-05
ZR9_5,Healthy,0,0,0,0,0,0,6.67E-05,3.33E-05,6.67E-05,0.0003667,0.000266667,0,0,0,0.0000333,0,0,0,0,0,0,0,0.001933333,0,0,0,0,0.0001,0,0,0,0,0,3.33E-05,0,0,0,0,0,0,0,0,0,0.00E+00,3.33E-05,6.67E-05,0,0,0
ZR9_6,Healthy,0,6.67E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.33E-05,0,0,0,0,3.33E-05,0,0,0,0,0,0,0,0,3.33E-05,0,0,3.33E-05,0,0,3.33E-05,0,0,0,0.00E+00,0,3.33E-05,0,0,3.33E-05
ZR9_7,Healthy,0,3.33E-05,0,0,0,0,0,0.004833333,0,0.0000333,0,3.33E-05,0.001366667,6.67E-05,0,0,0.0002,0,0,0,0,0,0.000733333,0,0,0.0057,0,0.003433333,0,0,0.0000333,0.0001,0,3.33E-05,6.67E-05,0,0,0.004033333,6.67E-05,0.0002,0.000133333,3.33E-05,0,5.97E-03,0,0,0,0,0
ZR9_8,Healthy,0,0,0,0,0,0,3.33E-05,6.67E-05,0,0,3.33E-05,0.0003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.33E-05,0,0,0,0,0,0,0,0,0,0,0.00E+00,0,0,0,0,0
ZR9_9,Healthy,0,0,0,0,0,0,0,0.009433333,6.67E-05,0.0000333,3.33E-05,0.040033333,0,0.0012,0.0000333,0,0,0.009866667,0,0,0,0,0,0,0.003133333,0,0,0,0,0,0,0,0,0.0001,0,0,0,0,0,0,0.0009,0,0,3.33E-04,0,3.33E-05,0,0,0
