Combination,Firmicutes_1-68,Bacteroidetes_5-7N15,Firmicutes_Abiotrophia,Firmicutes_Acidaminococcus,Proteobacteria_Acinetobacter,Proteobacteria_Actinobacillus,Actinobacteria_Actinomyces,Actinobacteria_Adlercreutzia,Proteobacteria_Aggregatibacter,Verrucomicrobia_Akkermansia,Firmicutes_Anaerococcus,Firmicutes_Anaerofustis,Firmicutes_Anaerostipes,Firmicutes_Anaerotruncus,Firmicutes_Anaerovorax,Actinobacteria_Atopobium,Bacteroidetes_Bacteroides,Actinobacteria_Bifidobacterium,Proteobacteria_Bilophila,Firmicutes_Blautia,Firmicutes_Bulleidia,Proteobacteria_Burkholderia,Bacteroidetes_Butyricimonas,Proteobacteria_Campylobacter,Acidobacteria_CandidatusKoribacter,Bacteroidetes_Capnocytophaga,Firmicutes_Catenibacterium,Firmicutes_cc_115,Bacteroidetes_CF231,Firmicutes_Christensenella,Firmicutes_Clostridium,Actinobacteria_Collinsella,Proteobacteria_Comamonas,Firmicutes_Coprobacillus,Firmicutes_Coprococcus,Actinobacteria_Corynebacterium,Firmicutes_Dehalobacterium,Proteobacteria_Delftia,Proteobacteria_Desulfovibrio,Firmicutes_Dialister,Firmicutes_Dorea,Bacteroidetes_Dysgonomonas,Actinobacteria_Eggerthella,Proteobacteria_Eikenella,Firmicutes_Enterococcus,Firmicutes_Epulopiscium,Firmicutes_Eubacterium,Firmicutes_Finegoldia,Fusobacteria_Fusobacterium,Proteobacteria_Haemophilus,Proteobacteria_Helicobacter,Firmicutes_Holdemania,Proteobacteria_Kingella,Firmicutes_Lachnospira,Firmicutes_Lactobacillus,Firmicutes_Lactococcus,Proteobacteria_Lautropia,Fusobacteria_Leptotrichia,Firmicutes_Macrococcus,Firmicutes_Megamonas,Firmicutes_Megasphaera,Euryarchaeota_Methanobrevibacter,Firmicutes_Mitsuokella,Firmicutes_Mogibacterium,Firmicutes_Moryella,Proteobacteria_Neisseria,Bacteroidetes_Odoribacter,Firmicutes_Oscillospira,Proteobacteria_Oxalobacter,Bacteroidetes_Paraprevotella,Firmicutes_Parvimonas,Firmicutes_Peptococcus,Firmicutes_Peptoniphilus,Firmicutes_Peptostreptococcus,Firmicutes_ph2,Firmicutes_Phascolarctobacterium,Bacteroidetes_Porphyromonas,Bacteroidetes_Prevotella,Proteobacteria_Proteus,Proteobacteria_Pseudomonas,Firmicutes_Pseudoramibacter,Synergistetes_Pyramidobacter,Firmicutes_rc4-4,Proteobacteria_Rhodoplanes,Firmicutes_Roseburia,Actinobacteria_Rothia,Firmicutes_Ruminococcus,Actinobacteria_Scardovia,Firmicutes_Schwartzia,Firmicutes_Selenomonas,Actinobacteria_Slackia,Spirochaetes_Sphaerochaeta,Firmicutes_Staphylococcus,Firmicutes_Streptococcus,Firmicutes_Succiniclasticum,Proteobacteria_Sutterella,Synergistetes_TG5,Firmicutes_Turicibacter,Firmicutes_Veillonella,Firmicutes_WAL_1855D
1,0,0,0,0,0,0,6.7308,6.4496,0,0,0,0,10.6694,2.7316,0,2.3872,99.3061,26.7083,2.7316,55.2036,1.2693,3.4427,20.0608,0,1.9339,0,8.9908,0,0,0,23.0016,9.7295,0,0,37.6894,0,3.0094,0,9.381,10.423,32.8951,0,1.2693,0,4.1639,4.2732,10.3937,0,16.4214,18.0506,0,2.7316,0,34.4107,5.733,0,0,0,0,25.6184,1.2693,0,9.0067,0,0,0,5.483,67.4647,3.4427,50.0507,0,12.0754,0,1.2693,0,17.4631,0,150.7173,0,0,0,0,0,2.7316,11.8903,5.1761,70.1931,0,0,0,5.0013,0,0,28.7573,0,14.3966,0,9.4022,27.254,0
2,0,0,0,5.3206,0,0,10.1523,8.1994,1.3413,4.3881,0,0,16.3343,6.9327,0,0,162.4684,8.8483,7.8329,45.5332,0,0,20.4958,0,0,0,0,0,0,0,19.9705,0,0,0,14.6382,1.3413,0,0,10.505,3.827,30.7119,0,3.3508,0,0,0,2.0241,2.4857,14.8978,6.3948,0,0,0,21.0499,33.217,0,0,0,0,9.8511,5.8365,0,0,0,0,0,8.5808,39.2616,8.3289,44.3768,4.3881,0,1.3413,0,0,19.1215,3.827,13.3869,0,0,0,0,0,0,9.8854,6.7228,69.0979,0,0,0,0,0,0,32.5719,0,17.7495,0,2.0241,18.6058,0
3,0,0,4.7356,10.9141,0,0,11.1355,0,0,4.7356,0,0,5.7082,7.6615,0,3.5836,177.7472,3.9683,9.7512,50.7968,2.2213,0,29.1502,7.3293,0,0,0,0,0,0,12.9896,0,0,5.3678,15.2033,7.5002,0,0,9.0556,8.6697,26.8565,0,6.3503,0,0,0,7.9366,3.0576,2.2213,5.2338,0,3.0576,0,20.4178,20.6574,0,0,0,0,5.2789,0,0,0,0,2.2213,0,7.4662,68.6469,0,56.1203,0,0,4.5222,3.9683,0,13.821,0,23.0043,0,0,3.0576,3.0576,0,0,17.1466,10.3323,67.2085,0,0,2.2213,0,0,0,38.1384,0,2.2213,0,5.8059,19.6866,0
4,4.7521,0,0,11.0161,0,0,9.1264,0,1.583,6.0174,4.7521,0,0,3.1674,0,3.9042,184.5543,14.6103,6.7653,42.481,0,0,9.8477,6.2241,0,0,0,0,12.959,1.583,14.8379,0,0,0,21.2378,0,0,0,7.8859,26.3807,27.9284,0,3.9042,0,3.6978,0,9.5551,7.544,17.1733,8.6801,0,3.6978,0,26.4366,6.8656,0,0,0,0,6.7091,21.7935,0,0,0,0,0,7.7587,21.137,2.3196,43.6099,0,0,12.3949,7.785,5.7785,6.6246,23.6096,57.6274,0,6.4729,1.583,1.583,0,0,16.0196,4.2452,61.6235,0,0,0,1.583,0,0,25.6669,0,17.6416,0,2.3196,32.949,9.4708
5,0,0,0,2.45,0,5.44,8.1978,1.6925,0,9.1497,0,0,7.9457,0,0,0,144.2889,13.5708,7.5238,47.8484,0,0,13.2336,0,0,0,0,0,12.4,0,16.6125,7.3766,0,0,31.4357,0,0,0,0,2.45,25.4023,0,0,0,0,0,9.644,0,1.6925,14.0973,0,3.3116,0,16.6837,1.6925,0,0,0,0,43.9925,0,0,0,1.6925,0,1.6925,8.0826,34.4917,0,44.812,0,0,0,0,0,13.25,0,51.8698,0,0,0,0,0,0,9.0499,1.6925,57.3823,0,0,0,0,0,0,15.9378,0,16.6502,0,4.0553,12.723,0
6,0,0,3.7887,13.489,0,0,11.0329,0,2.0721,2.0721,0,0,10.3119,3.4081,0,6.6944,147.8546,20.8033,8.6726,37.3383,0,0,0,3.7887,0,0,2.0721,0,3.7887,4.3385,16.4336,5.415,0,0,9.71,2.0721,0,0,5.0466,5.8608,31.7744,0,4.8995,6.649,0,0,3.7887,0,6.6782,12.961,0,0,0,17.3598,22.3677,0,0,0,0,10.7123,7.228,0,0,0,2.0721,0,0,31.7059,0,26.3358,2.0721,0,0,5.5195,0,14.633,0,16.5929,0,0,5.4802,2.0721,0,0,12.7101,9.3193,52.8805,0,2.0721,8.8798,0,0,0,47.7175,2.0721,15.3835,2.0721,0,40.7978,0
7,2.9726,0,2.1456,13.851,0,3.8776,5.5084,2.1456,18.6097,7.3992,0,0,6.9575,4.1798,0,2.9726,173.6733,9.7929,9.4434,31.1123,0,0,29.2828,14.9332,0,0,0,0,0,0,25.0038,0,0,0,13.3085,2.1456,0,0,0,9.017,74.7929,0,3.4949,4.4295,3.4949,0,8.5199,0,19.0522,16.9936,0,4.4295,0,34.8116,0,0,3.4949,0,0,2.1456,2.9726,0,0,0,2.1456,0,0,35.3974,0,29.4887,0,0,0,4.1798,0,13.599,0,12.7722,0,0,4.9919,0,0,0,24.3584,8.3338,48.4059,0,0,3.8776,0,0,0,38.4587,0,13.917,0,0,23.836,3.8776
8,0,0,3.2441,18.8291,0,0,4.1658,0,0,0,0,0,0,0,0,4.7238,123.2259,32.4756,11.106,25.3548,0,0,0,5.6962,0,0,0,0,0,0,11.7251,0,0,0,15.9657,0,0,0,3.2441,9.1587,10.406,0,3.2441,0,5.9146,0,4.1658,0,7.0013,12.2128,0,0,0,10.0804,58.6303,0,0,3.2441,0,6.4882,28.8231,0,0,0,0,0,0,15.1641,0,15.55,0,0,0,0,0,3.2441,3.2441,14.5974,0,0,0,5.4387,0,0,4.1658,3.2441,19.8058,4.1658,0,3.2441,0,0,0,51.4785,0,17.1502,3.2441,0,44.0042,0
9,0,0,0,0,0,0,6.0668,6.3395,1.3972,10.8082,0,0,15.1016,4.6548,0,2.0936,142.0649,8.2534,7.9335,50.1341,0,0,19.4635,0,0,0,0,0,0,1.3972,13.8867,6.6059,0,0,33.1523,1.3972,4.888,1.3972,10.846,12.4442,29.6596,0,0,0,0,0,3.6367,0,3.4908,10.483,0,3.6367,0,33,20.178,0,0,0,0,12.7242,3.4908,5.3871,0,0,0,0,11.3762,49.9523,5.3297,80.183,0,0,0,0,0,16.0818,1.3972,53.6822,0,0,0,0,2.0936,0,13.7982,5.2905,100.6145,0,0,0,0,0,0,16.6706,0,23.3826,0,4.8469,26.0695,1.3972
10,0,0,0,1.4585,0,0,6.9356,10.828,6.1648,8.9122,0,0,3.5222,2.1688,2.1688,2.6426,122.233,24.5896,4.5685,48.7507,0,0,2.1688,2.917,0,0,0,0,0,0,15.1376,0,0,0,32.035,0,0,0,6.9114,15.823,31.8177,0,7.1559,1.4585,5.237,0,0,0,5.1685,14.7375,0,0,1.4585,33.639,28.7032,2.1688,0,4.1011,0,36.3817,16.3595,0,0,0,0,1.4585,4.4581,34.7915,2.1688,33.6547,0,0,0,0,0,11.663,0,35.5538,5.9986,0,0,0,0,0,17.1905,6.1295,66.5407,0,5.0858,13.2265,0,0,2.1688,35.1885,0,17.8335,1.4585,0,38.7535,0
11,0,0,0,0,0,0,9.3656,4.4804,5.2832,0,0,1.6472,11.393,1.6472,0,5.2191,157.6628,6.2408,6.0216,48.7321,0,0,15.4335,5.6486,0,0,0,0,0,0,8.0635,1.6472,0,1.6472,26.8547,4.0435,0,0,0,17.6779,35.2157,0,5.2994,1.6472,0,0,0,0,6.838,10.6552,0,3.7859,0,24.3552,20.1938,0,1.6472,11.7708,0,4.8995,4.5341,0,0,0,1.6472,5.9828,6.5343,51.4114,0,65.3803,0,0,0,0,0,11.208,0,48.7274,0,0,0,0,0,0,14.0573,12.2483,75.1524,0,0,11.3538,0,0,0,37.808,0,7.9672,0,0,49.6431,0
12,0,0,0,36.674,0,0,10.2239,5.4319,0,14.898,0,0,0,0,0,0,80.7657,19.1419,0,29.425,2.8123,0,11.525,9.8645,0,0,0,0,0,0,17.8611,0,0,0,19.4072,0,0,0,11.0802,24.2472,18.1096,8.3501,5.6204,0,8.5254,0,5.2151,0,21.0607,4.9598,0,0,0,9.5584,28.518,0,0,0,0,5.6246,27.7445,0,0,5.6204,0,5.6246,2.8123,26.663,0,16.8511,2.8123,0,0,3.7058,0,5.4319,0,80.7285,6.6922,0,4.2534,12.77,0,0,5.2151,2.8123,48.4131,0,4.2534,13.0863,0,0,0,25.1351,0,24.2745,0,2.8123,37.039,0
13,1.7037,0,0,4.9266,0,0,5.7742,1.7037,0,5.4558,0,0,7.6249,2.9583,0,1.7037,181.3691,33.445,8.1908,55.0481,1.7037,0,19.3882,1.7037,0,0,0,0,0,6.8207,21.1953,16.0929,0,0,29.3043,0,0,0,0,10.4815,38.8016,0,2.4633,0,0,0,3.8624,0,3.4074,4.0705,0,2.9583,0,10.385,10.627,0,0,0,0,2.9583,14.0817,0,0,0,0,0,10.962,48.5343,0,40.2752,0,0,1.7037,1.7037,0,19.8918,5.0299,32.7965,0,0,2.9583,2.4633,0,0,15.44,2.4633,51.4995,0,3.4074,0,3.619,0,0,15.7964,0,25.5362,0,6.3622,11.9712,4.4139
14,0,0,5.415,0,0,0,7.4217,0,0,6.398,0,2.2594,0,10.422,0,2.2594,179.3303,16.2505,9.3415,28.4924,0,0,47.475,0,0,0,0,0,3.1003,6.1892,3.628,11.78,4.0136,0,25.6723,3.628,0,0,12.085,7.2276,33.3208,0,3.1003,0,4.0136,3.1003,16.1064,0,19.2134,3.1003,0,3.1003,0,3.1003,8.7062,2.2594,0,2.2594,0,18.596,8.1743,3.628,0,2.2594,0,2.2594,12.4444,64.0123,4.3175,55.4265,0,3.1003,0,5.6508,0,26.2055,0,29.4858,0,0,9.0534,14.6687,0,0,0,5.6508,67.7046,2.2594,4.5188,0,6.6364,0,0,20.8042,0,36.8034,0,0,7.1139,0
15,0,0,0,5.6228,0,0,2.9812,5.2828,0,0,0,0,10.2844,10.5727,0,0,156.5312,14.9401,7.287,40.4818,0,0,18.2339,2.1532,0,0,0,0,0,4.4389,2.1532,0,0,0,26.5253,0,2.1532,0,7.4091,9.2477,25.9286,0,0,0,0,0,0,0,2.1532,10.8626,0,2.9812,0,19.7823,6.7066,2.1532,0,0,0,2.1532,0,0,0,0,0,0,10.326,61.2474,4.1891,75.1941,0,0,0,0,0,25.248,2.1532,47.9933,0,0,0,0,0,0,10.279,4.1891,62.9791,0,2.1532,0,0,0,0,19.3788,0,10.322,2.1532,4.1891,16.6265,0
16,0,0,0,0,3.938,3.6394,3.6394,6.6209,8.5436,4.1852,0,0,15.8979,0,0,0,158.2701,1.9506,3.6394,49.3207,0,0,10.2913,1.9506,0,1.9506,0,0,0,1.9506,9.4546,2.7507,0,0,20.3521,0,0,0,0,16.4262,16.7316,0,2.7507,1.9506,2.7507,0,0,0,3.9012,13.0016,0,0,0,33.427,26.0843,0,0,0,0,4.7013,2.7507,0,0,0,0,7.4476,9.4096,29.1058,0,76.2058,0,0,0,0,0,19.7204,1.9506,54.6369,1.9506,0,0,0,0,0,11.307,4.1852,51.7534,0,0,2.7507,0,0,0,15.3194,0,20.544,0,4.3962,20.8318,0
17,0,0,0,16.3339,0,2.474,7.3001,8.557,1.7128,2.9697,0,0,6.6758,0,0,0,122.1931,18.12,7.7337,46.7382,5.312,0,21.1225,1.7128,0,0,0,0,0,0,11.2795,12.807,0,1.7128,33.5491,0,3.631,0,11.8086,1.7128,29.4729,0,0,0,1.7128,1.7128,7.7337,0,2.474,9.3341,0,1.7128,0,32.248,30.0452,0,0,3.4256,0,6.3076,21.163,4.4263,0,0,0,1.7128,7.8803,50.7726,8.1926,52.9369,0,0,0,0,0,20.6594,0,82.0166,0,0,0,3.3379,0,0,14.6258,2.9697,68.4412,0,0,1.7128,6.2937,0,0,20.8358,0,23.6757,0,2.474,14.0095,0
18,0,0,0,1.8048,0,0,13.9689,18.6255,1.8048,4.5511,0,0,6.9448,5.0626,0,3.9966,174.3357,27.4067,3.0843,52.4157,3.0843,0,14.1402,5.5564,0,0,1.8048,0,0,0,19.2728,10.637,0,0,25.4843,0,0,0,3.6096,13.104,41.924,0,6.1462,0,0,0,4.3868,1.8048,10.1806,18.842,0,3.0843,0,23.2571,8.5928,1.8048,0,0,0,4.8891,7.279,0,0,0,0,0,6.1462,41.9607,0,37.6071,3.7516,0,0,0,0,21.5214,2.582,31.866,0,0,0,0,0,0,14.39,8.3858,78.5926,0,0,6.6939,0,0,0,25.866,0,15.801,1.8048,2.582,38.2852,0
19,0,0,0,0,0,0,3.8216,0,0,15.231,1.9707,0,12.5657,4.9163,0,1.2986,115.8717,13.9708,7.9354,60.0254,0,0,5.0495,0,0,0,0,2.4275,0,1.2986,9.6497,0,0,0,33.428,1.2986,3.8216,0,0,1.2986,31.6061,0,8.8887,0,0,0,6.3398,0,1.2986,5.9615,0,1.9707,0,16.6991,21.705,4.7696,0,0,1.2986,14.0877,0,0,0,0,0,0,7.1995,65.5386,5.1117,37.0403,2.4275,0,0,1.2986,1.2986,20.0462,2.5972,1.2986,0,0,0,0,3.053,0,10.2268,2.4275,90.8517,1.2986,0,0,0,0,0,16.9249,0,9.9984,0,0,14.6474,1.2986
20,0,0,0,7.3511,0,0,4.2651,7.1549,0,1.5295,0,0,16.661,1.5295,0,0,129.957,27.2143,6.8355,54.523,0,0,22.7719,0,0,0,0,0,0,1.5295,12.4081,10.71,0,0,35.2748,0,0,0,7.3511,13.7875,31.598,0,2.7356,0,0,0,8.8674,0,5.2756,3.8286,0,0,0,14.6113,0,0,0,0,0,30.1089,3.7846,2.2551,0,0,0,0,9.128,42.5834,2.2551,58.8325,0,1.5295,1.5295,0,0,3.8286,0,53.2429,0,0,1.5295,2.7356,0,0,7.4002,0,54.1229,0,0,0,9.0421,0,0,19.0831,0,20.4309,0,6.6033,5.3581,2.7356
21,6.765,0,7.9082,0,0,0,20.181,1.6577,0,13.36,5.6749,4.3503,3.8002,2.4088,4.1891,6.4464,76.2681,25.673,1.6577,58.3337,4.1891,0,3.3154,0,0,0,0,0,0,5.5973,18.5438,14.417,0,0,21.6687,15.5886,0,0,0,12.0049,72.1013,0,11.213,0,5.5973,0,21.975,3.2661,8.5126,2.4088,0,3.5578,0,4.0665,75.1983,0,0,1.6577,0,20.204,4.5579,0,0,2.9002,0,1.6577,5.149,51.9153,0,19.9687,5.8338,0,17.1502,7.9839,0,13.7457,19.3089,28.5116,0,0,11.1852,4.3503,0,0,5.3144,11.8616,73.9336,4.9238,0,0,4.1891,0,4.1891,57.547,0,20.2721,0,0,24.8632,5.2341
22,0,0,0,9.4102,0,0,13.6221,12.4072,1.2598,8.8274,0,1.2598,11.7669,4.8527,0,3.7605,110.9649,16.7386,6.9833,63.4914,1.2598,0,33.9878,0,0,0,0,2.3741,0,3.428,16.9349,0,0,3.6339,24.4203,1.2598,0,0,10.168,30.5952,47.1096,0,7.9775,0,5.5119,0,5.2903,1.922,6.7335,8.7006,0,3.2278,0,17.1407,27.3468,0,0,0,0,0,9.1889,0,0,4.4542,0,0,8.5435,54.7102,5.4209,35.4451,1.922,0,1.2598,6.5614,0,1.2598,1.2598,37.0078,1.2598,0,1.2598,8.5354,0,0,10.464,3.1818,102.3157,0,0,0,0,0,0,31.2269,0,15.7164,0,2.3741,34.8295,0
23,0,0,2.9783,6.7956,2.9783,0,10.9974,5.8664,0,10.839,0,1.7197,14.3661,3.6401,1.7197,3.3469,159.7274,12.0831,8.7167,59.1421,0,0,24.5098,1.7197,0,0,0,1.7197,1.7197,0,15.4299,13.5199,0,0,37.1473,4.8341,0,0,9.7071,14.4447,39.3,0,2.9783,0,1.7197,0,2.9783,0,8.5937,6.3034,0,0,0,18.1083,24.3529,0,1.7197,0,0,33.1237,1.7197,0,0,0,0,0,8.1684,51.6017,0,50.3543,0,0,0,1.7197,0,18.2897,0,47.961,0,0,0,1.7197,0,0,11.0333,8.1817,82.2495,0,0,0,2.4821,0,0,18.946,0,32.6501,0,6.7655,13.7304,0
24,0,0,0,0,0,2.6186,0,0,3.4961,4.5931,0,0,8.8571,5.3323,0,0,220.8015,3.4961,8.9943,19.2043,0,0,23.0677,1.8362,0,0,1.8362,0,0,1.8362,9.1591,5.5629,3.7922,0,22.5529,0,0,0,8.3777,1.8362,19.6201,0,0,0,0,0,3.123,0,3.123,13.1899,0,3.123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.0891,80.616,6.5867,50.7517,0,0,0,0,0,14.759,0,58.487,0,0,0,0,0,0,3.7922,1.8362,50.2781,0,0,1.8362,0,0,0,10.2117,0,21.486,1.8362,0,16.9244,0
25,4.0695,0,0,0,0,2.6469,3.5269,9.2145,11.4082,8.8085,3.7212,1.8606,20.9348,1.8606,0,1.8606,193.791,7.7848,7.9097,37.9466,0,0,29.5317,2.6469,0,0,0,0,0,1.8606,4.9044,8.8666,9.1467,0,20.1804,0,3.8235,0,13.958,23.2762,23.3014,0,1.8606,0,1.8606,0,0,0,10.4,30.1086,0,0,0,17.9637,0,1.8606,0,6.765,0,0,0,0,0,0,0,6.7164,19.013,54.0678,3.5269,67.5197,4.0695,0,3.153,0,0,24.054,12.1234,24.9959,0,0,0,0,0,0,12.74,1.8606,69.4593,0,2.6469,4.5075,1.8606,3.5269,0,26.2153,0,26.8379,1.8606,0,28.1419,7.5124
26,0,0,0,11.119,0,0,2.2946,0,3.6689,0,0,0,0,5.4584,0,0,143.27,6.6543,7.9715,56.1215,0,0,0,2.2946,0,0,0,0,0,0,11.078,6.3061,5.5812,0,6.6543,0,0,0,0,2.2946,18.7788,0,0,0,2.2946,0,6.0748,0,5.0112,16.3692,0,0,0,0,0,0,0,2.2946,0,25.3814,10.8035,0,0,0,0,5.9635,0,34.792,0,67.3386,0,0,0,2.2946,0,15.096,4.0553,95.224,0,0,2.2946,2.2946,0,0,0,0,27.8112,0,0,4.5892,0,0,0,19.0915,0,13.829,0,0,24.9386,0
27,3.1906,0,0,2.3406,2.3406,0,4.1094,5.5146,3.7219,14.236,0,0,5.8558,4.1094,0,0,151.4937,5.5146,10.672,27.8245,0,0,8.1364,2.3406,0,0,0,0,0,0,18.5441,9.2448,0,0,11.517,2.3406,0,0,4.6662,6.9125,15.1062,0,5.7508,0,4.4145,3.1906,0,0,9.3324,22.5398,2.3406,0,0,12.7576,22.577,4.4145,0,0,0,44.75,3.1906,0,0,0,2.3406,3.1906,8.8593,41.0101,0,33.3237,0,0,0,0,0,20.0668,9.2531,27.1179,3.1906,2.3406,0,0,0,0,5.7508,0,52.21,0,0,0,0,0,0,20.9054,0,23.8958,0,5.067,26.9083,0
28,0,1.7526,0,0,0,0,3.6835,2.5209,0,1.7526,0,0,11.2621,7.0016,0,3.0195,190.2073,12.6005,9.6345,29.4875,0,0,43.6523,0,0,0,0,0,0,4.6262,15.7664,7.9647,3.3894,0,22.2341,1.7526,7.7787,0,13.5936,11.888,22.2683,0,0,0,0,1.7526,3.5052,0,4.2735,11.3075,0,4.1365,0,14.7488,5.5404,0,0,0,0,6.0714,15.4346,0,0,0,0,0,13.2859,85.0982,10.0571,79.6561,0,0,0,0,0,22.4892,0,75.3823,1.7526,3.6835,0,0,0,0,9.1421,2.5209,72.0174,0,0,1.7526,0,0,0,11.804,0,24.2217,0,6.75,18.5722,0
