Combination,Firmicutes_1-68,Bacteroidetes_5-7N15,Firmicutes_Abiotrophia,Firmicutes_Acidaminococcus,Proteobacteria_Actinobacillus,Actinobacteria_Actinomyces,Actinobacteria_Adlercreutzia,Proteobacteria_Aggregatibacter,Verrucomicrobia_Akkermansia,Firmicutes_Anaerococcus,Firmicutes_Anaerofustis,Firmicutes_Anaerostipes,Firmicutes_Anaerotruncus,Actinobacteria_Atopobium,Bacteroidetes_Bacteroides,Actinobacteria_Bifidobacterium,Proteobacteria_Bilophila,Firmicutes_Blautia,Bacteroidetes_Butyricimonas,Proteobacteria_Campylobacter,Firmicutes_Catenibacterium,Firmicutes_Christensenella,Firmicutes_Clostridium,Actinobacteria_Collinsella,Proteobacteria_Comamonas,Firmicutes_Coprobacillus,Firmicutes_Coprococcus,Actinobacteria_Corynebacterium,Firmicutes_Dehalobacterium,Proteobacteria_Delftia,Proteobacteria_Desulfovibrio,Firmicutes_Dialister,Firmicutes_Dorea,Actinobacteria_Eggerthella,Proteobacteria_Eikenella,Proteobacteria_Enhydrobacter,Firmicutes_Enterococcus,Firmicutes_Epulopiscium,Firmicutes_Eubacterium,Fusobacteria_Fusobacterium,Proteobacteria_Haemophilus,Firmicutes_Holdemania,Firmicutes_Lachnospira,Firmicutes_Lactobacillus,Firmicutes_Lactococcus,Fusobacteria_Leptotrichia,Firmicutes_Megamonas,Firmicutes_Megasphaera,Euryarchaeota_Methanobrevibacter,Firmicutes_Mitsuokella,Firmicutes_Moryella,Deferribacteres_Mucispirillum,Proteobacteria_Neisseria,Bacteroidetes_Odoribacter,Firmicutes_Oscillospira,Proteobacteria_Oxalobacter,Bacteroidetes_Paraprevotella,Firmicutes_Parvimonas,Firmicutes_Peptococcus,Firmicutes_Peptoniphilus,Firmicutes_Peptostreptococcus,Firmicutes_Phascolarctobacterium,Bacteroidetes_Porphyromonas,Bacteroidetes_Prevotella,Proteobacteria_Proteus,Proteobacteria_Pseudomonas,Firmicutes_Pseudoramibacter,Synergistetes_Pyramidobacter,Firmicutes_rc4-4,Firmicutes_Roseburia,Actinobacteria_Rothia,Firmicutes_Ruminococcus,Firmicutes_Schwartzia,Firmicutes_Selenomonas,Actinobacteria_Slackia,Proteobacteria_Sphingomonas,Firmicutes_Streptococcus,Proteobacteria_Succinivibrio,Proteobacteria_Sutterella,Synergistetes_TG5,Firmicutes_Turicibacter,Firmicutes_Veillonella
1,0,0,0,5.8489,5.0382,6.3144,5.0083,7.4415,4.475,0,0,16.9461,1.4698,1.4698,163.6794,6.2537,6.2688,63.6146,13.4082,9.9007,8.2836,2.1826,12.4839,7.432,0,0,33.2743,0,0,0,7.4899,16.2584,36.5407,0,3.3001,0,12.273,0,7.3085,1.4698,19.5693,0,31.823,2.6576,0,6.264,11.8971,12.7692,0,6.6708,0,0,1.4698,1.4698,39.9849,1.4698,59.9293,0,0,0,0,28.4918,3.6524,80.3663,0,0,0,0,0,15.8335,7.7715,56.1697,0,2.6576,4.475,0,33.1597,0,16.8635,0,0,43.1308
2,0,0,0,10.7813,0,4.3873,0,0,11.035,1.4914,0,16.4198,5.5392,0,156.492,6.2551,1.4914,63.1614,6.9363,0,0,3.0438,29.6634,0,0,1.4914,33.6006,0,2.2089,0,15.5059,14.0228,50.8624,0,0,0,1.4914,6.7784,7.5795,3.5692,3.5692,0,18.3908,1.4914,0,0,21.5303,17.7277,4.9908,1.4914,0,0,0,3.3303,71.7356,3.9535,32.8726,2.6859,0,0,0,23.4234,2.6859,111.1475,0,0,3.3303,1.4914,0,7.6971,0,95.2312,0,0,0,0,11.3806,0,25.3797,0,9.6173,10.4901
3,0,0,0,7.2723,0,3.8177,0,0,9.012,0,0,11.6273,0,3.283,141.4775,19.1335,8.1976,50.2729,10.4727,0,0,0,18.7593,0,2.4241,0,25.1936,0,2.4241,0,2.4241,18.5432,29.5191,0,0,0,0,0,2.4241,0,0,3.8177,8.4503,2.4241,0,0,14.4489,4.9804,0,0,0,0,0,7.181,43.9567,0,54.2811,0,6.3147,0,0,30.5839,2.4241,46.736,0,0,0,3.8177,0,8.7447,2.4241,51.9955,0,0,0,0,5.8522,0,35.34,0,2.4241,10.9035
4,0,0,0,7.3889,0,0,0,0,5.475,0,0,21.1836,1.7721,0,156.148,7.3287,0,56.5563,1.7721,0,0,0,15.6658,1.7721,0,0,41.5387,0,4.9062,0,9.0098,12.16,38.7562,0,0,0,0,0,3.9535,0,9.4443,0,20.1825,7.2128,0,0,13.5175,19.2996,6.928,0,0,0,0,8.1721,61.8061,0,34.9165,1.7721,0,1.7721,1.7721,27.1274,1.7721,29.4797,0,0,3.709,7.4101,0,16.4188,1.7721,101.3195,0,0,0,0,17.8073,0,3.5442,0,6.5359,16.9164
5,0,1.4181,0,0,0,0,0,0,10.941,0,2.589,16.8981,1.4181,0,160.3762,0,8.3535,55.1732,6.0276,0,0,2.9428,21.4516,0,4.9589,0,41.4194,0,11.6546,0,2.8362,8.5552,39.8906,0,0,0,0,0,1.4181,2.1192,13.3542,2.1192,27.5024,0,0,0,17.7093,5.4197,0,3.4638,0,0,0,13.4003,61.0194,2.1192,47.348,0,0,0,2.1192,36.3406,0,16.8227,0,0,0,0,0,7.9667,1.4181,73.8984,0,1.4181,0,0,10.7355,0,28.2378,0,2.9428,26.1227
6,0,0,0,3.3116,0,0,0,0,4.7963,0,0,5.7701,0,0,89.7613,9.4353,4.237,23.2919,4.237,0,0,0,8.5099,0,0,0,9.9946,0,0,3.3116,3.3116,8.8239,12.9042,0,0,0,0,0,0,4.237,10.0684,0,16.004,0,0,0,16.7151,14.045,0,0,0,0,0,0,3.3116,0,19.8935,0,0,0,0,37.0612,0,23.0544,0,0,0,0,0,6.6325,0,45.7399,0,0,0,0,3.3116,0,10.8602,0,0,6.6325
7,1.4002,0,0,0,1.4002,2.0972,8.5811,0,10.061,0,0,14.3957,4.1944,1.4002,210.1092,12.0439,9.4899,56.4871,17.8358,0,0,2.5651,17.5294,9.9362,5.0066,0,32.2998,0,8.7361,0,11.5941,10.9085,39.835,3.641,0,0,0,0,1.4002,6.6985,7.3072,0,24.1165,8.5386,2.9179,0,38.7947,5.447,7.5662,0,0,0,0,10.3896,62.4443,3.9777,67.8494,0,0,0,1.4002,22.5774,1.4002,49.8206,0,0,0,3.2011,0,14.8495,1.4002,92.661,0,0,0,0,8.9001,0,17.5685,0,3.8191,6.8956
8,0,0,0,0,0,0,0,0,3.1959,0,0,2.3453,0,2.3453,59.3464,0,0,25.3439,19.4541,5.5412,6.6288,0,9.2686,4.4201,0,0,14.4009,0,3.1959,0,8.8267,18.5013,16.2337,0,0,0,0,0,2.3453,2.3453,8.6178,0,27.6561,0,0,8.4826,2.3453,0,0,7.0842,0,0,2.3453,6.2956,45.336,4.1149,37.6691,0,0,0,0,16.4498,5.5412,172.4914,2.3453,0,0,0,0,8.939,3.1959,50.1804,2.3453,5.0727,3.1959,0,24.5935,14.344,18.6901,0,6.0511,43.1441
9,0,0,0,0,3.4292,0,0,7.8317,4.1116,0,0,9.7078,0,0,148.982,2.9097,8.0311,28.3677,17.8128,2.0899,0,0,18.5937,6.7614,2.0899,0,13.507,0,0,0,0,0,32.0113,0,0,0,0,0,0,21.5083,20.0722,0,26.1033,8.4288,0,0,27.7782,0,0,0,0,0,2.0899,8.0666,54.8824,0,44.7887,0,0,0,0,20.1631,0,68.3798,0,2.0899,0,0,0,11.851,0,48.3282,0,0,0,0,12.7677,0,19.408,0,0,13.1437
10,0,0,0,0,0,3.6032,3.6032,0,10.867,0,0,18.456,3.0764,0,170.9896,4.476,6.0856,29.6736,0,0,0,2.238,13.0436,0,0,0,16.7536,0,0,0,2.238,0,23.3118,0,0,0,0,0,0,0,7.9004,0,15.182,0,0,0,2.238,0,0,0,0,0,2.238,11.655,57.5375,0,30.3181,0,0,0,0,13.723,0,19.2381,0,0,0,0,0,4.7561,0,68.1316,0,2.238,0,0,6.1528,0,16.4467,0,6.861,6.9941
11,0,0,0,0,0,3.2441,0,3.2441,7.6752,0,0,3.2441,3.2441,0,115.9609,8.5134,0,35.7757,14.9272,3.2441,0,0,26.536,0,0,0,7.4099,0,0,0,7.7338,7.9679,19.2278,3.2441,0,4.7238,0,0,0,17.3721,22.163,4.1658,6.4882,3.2441,0,0,9.4476,3.2441,0,0,4.1658,0,0,6.7966,20.17,0,62.3931,3.2441,0,0,4.1658,23.9724,0,34.2145,0,3.2441,0,5.1251,0,3.2441,0,31.3794,0,6.4882,3.2441,7.8443,16.8472,3.2441,4.7238,0,3.2441,39.5426
12,0,0,0,5.846,0,2.419,0,0,7.5872,0,0,16.676,0,0,114.3278,22.0684,11.795,46.9211,0,2.419,0,0,23.8139,8.5998,0,0,6.5947,0,0,0,3.2773,8.0128,26.1108,4.201,0,0,0,0,4.201,8.6461,11.399,0,31.839,2.419,0,4.838,9.2868,5.6963,0,0,0,0,3.2773,9.773,38.6341,0,19.0753,2.419,0,0,0,21.0191,2.419,36.3428,0,0,0,0,0,21.4221,0,53.4922,0,3.2773,0,0,14.6787,0,21.5706,2.419,0,25.8547
13,0,0,0,3.1075,0,2.2659,5.4231,0,10.4253,1.5384,0,7.3022,2.2659,0,175.4494,17.451,11.012,35.8364,31.4943,1.5384,0,2.7472,7.9766,8.7658,0,0,15.7248,0,0,0,1.5384,15.1471,21.9042,3.1075,0,0,0,0,0,1.5384,3.6356,1.5384,10.1316,2.2659,0,0,22.7238,35.6002,0,0,0,0,0,10.176,74.8236,8.511,68.3543,1.5384,0,0,1.5384,14.4824,0,28.4018,0,0,0,0,0,4.4563,1.5384,63.5003,0,0,0,0,10.8028,0,29.3673,0,0,14.278
14,0,0,0,0,0,0,2.3548,2.3548,4.8976,0,0,17.7804,0,0,160.3112,0,7.2981,22.7791,7.7523,0,0,2.3548,17.6252,9.8434,0,0,21.6923,0,0,0,9.1096,0,21.0383,0,0,0,0,0,4.6832,0,11.0351,2.3548,14.0107,0,0,0,12.176,2.3548,0,0,0,0,0,6.8608,42.0071,3.7383,60.6185,0,0,0,0,15.242,0,71.3255,0,0,0,0,0,12.006,0,48.1763,0,7.916,0,0,7.6378,2.3548,18.7066,0,3.2064,19.734
15,0,0,0,0,0,0,1.5366,0,11.441,0,0,4.4537,3.1051,1.5366,79.1505,1.5366,8.1021,27.3912,28.8743,0,0,0,8.8473,6.7477,0,0,21.4327,2.2637,19.1282,0,19.2281,13.718,20.0296,0,0,0,0,0,7.4111,8.9151,7.9661,0,21.4593,0,1.5366,0,1.5366,0,0,0,0,0,0,8.6379,66.6778,4.7874,45.236,0,0,0,0,13.458,0,160.3056,0,0,0,2.2637,2.2637,9.2147,1.5366,57.3029,1.5366,0,0,0,8.8632,2.2637,30.3453,0,4.3228,21.3049
16,0,0,0,0,0,1.9978,4.2452,3.9973,5.6119,0,0,7.798,1.9978,0,160.4054,19.1163,11.262,32.2794,18.1501,0,0,3.3193,15.4669,8.6836,5.9279,0,17.291,0,3.9956,0,14.5959,12.227,20.8352,0,0,0,0,0,0,1.9978,12.7018,0,11.0956,1.9978,1.9978,0,3.3193,0,0,13.2158,0,0,0,17.7586,48.8828,6.9513,39.413,0,0,0,0,16.7379,0,28.7465,0,0,0,0,0,7.0846,0,55.8626,0,1.9978,0,0,13.6446,2.8049,25.854,0,0,27.8141
17,0,0,2.6925,3.5764,0,0,0,0,8.5831,0,0,13.1264,3.5764,0,141.3881,6.2689,10.417,31.4642,0,7.5164,0,0,10.117,2.6925,0,6.553,4.8239,0,0,0,7.5164,0,33.77,2.6925,0,0,0,0,0,26.6112,9.6218,0,16.2217,0,0,0,3.5764,0,0,0,0,0,0,2.6925,17.8858,0,33.7572,0,0,0,0,10.8891,0,58.9303,0,3.5764,0,5.649,0,9.2338,0,38.3932,3.5764,10.982,0,0,10.7572,0,8.2621,0,5.2947,22.5024
18,0,0,0,0,0,4.4485,0,2.9899,6.1384,0,0,8.26,4.4485,0,118.5353,0,4.8469,32.8155,5.415,0,0,0,9.3373,0,0,0,2.9899,0,0,0,2.9899,3.8962,19.5819,3.8962,0,0,0,0,0,15.7259,20.5684,0,16.9647,0,0,0,0,0,0,0,0,2.9899,0,4.4485,16.9345,2.9899,34.6258,0,0,0,0,8.1486,0,30.9071,0,0,0,0,0,11.235,0,37.0171,0,5.9798,0,0,30.2136,2.9899,16.126,0,5.415,32.9344
19,0,0,0,0,0,2.2724,2.2724,0,12.762,0,0,18.5129,3.1148,0,202.4301,0,9.8523,27.8383,16.9985,0,4.3332,2.2724,9.2622,2.2724,0,0,23.8893,0,6.758,0,3.1148,0,20.5248,2.2724,0,0,0,0,0,4.0291,11.2477,0,21.0322,0,0,0,2.2724,3.6432,0,0,0,0,0,7.7519,75.7452,6.9496,39.2677,0,0,0,0,27.0009,0,35.1751,0,0,0,0,0,11.804,0,71.6816,0,0,0,0,10.8183,0,19.999,0,6.9936,7.4058
20,0,0,0,0,0,0,0,6.3542,6.6726,0,0,0,0,0,152.3108,4.4061,0,11.56,12.7705,0,0,0,11.3388,0,0,0,0,0,0,3.4726,0,8.4408,9.447,3.4726,0,0,0,0,0,22.495,13.2701,0,0,3.4726,0,0,4.9682,3.4726,0,0,0,0,0,3.4726,19.4416,0,40.1645,0,0,0,0,24.9542,0,26.2825,0,4.4061,0,4.4061,0,0,0,45.723,0,8.4408,0,0,10.3399,0,14.7526,0,0,27.1191
21,0,0,0,9.1668,0,0,0,0,5.3918,0,0,9.6417,4.1205,0,142.8049,9.1461,8.5414,19.8273,22.7181,0,0,1.9,17.0733,7.1328,0,3.8739,6.3745,0,0,0,1.9,17.0899,11.8863,3.5764,0,0,0,0,0,11.3408,6.5104,2.6925,17.2346,0,0,0,2.6925,25.2274,0,12.356,0,3.2011,0,10.967,38.9768,0,40.122,3.8739,0,0,0,16.365,0,21.2697,0,0,0,0,0,10.628,1.9,47.2856,0,0,0,0,6.231,0,26.7307,0,0,13.9616
